siteName,siteTime,siteAddress,dinnerSupperTime,siteDistrict,siteCounty,siteState,siteZip,daysofOperation,contactPhone,startDate,breakfastTime,lunchTime,snackTimeAM,snackTimePM,siteStatus,endDate,_updatedOn
Washtucna Elementary/Highschool,10:45 a.m. to 11: 45 a.m,"730 Booth Avenue, Washtucna,",,Washtucna,Adams County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
Wahitis Elementary School,11:00 a.m to 12:30 p.m,"905 S 14th Ave, Othello, 99344",,Othello,Adams County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
Hiawatha Elementary School,11:00 a.m to 12:30 p.m,"506 N 7th Ave, Othello",,Othello,Adams County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
Othello High School,11:00 a.m to 12:30 p.m,340 S 7th Ave,,Othello,Adams County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 1:,11:00 – 11:15 AM,Golden Plains ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 1:,11:30 – 11:45 AM,Radar Trailer Court ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 2:,11:00 – 11:15 AM,Sportsman Trailer Court ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 2:,11:30 – 12:00 PM,Taggares Park ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 3:,11:00 – 11:20 AM,Soda Street & Juniper Street ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 4:,11:00 – 11:15 AM,Weavers Trailer Court ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
ROUTE 4:,11:20 – 11:35 AM,Summerset West – Drury Ln & Shelly Rd ,,,Adams County,WA,,,,,,,,,,,Sat Apr 11 15:13:40 2020
Grantham Elementary,7:30-9:00 a.m. and 11:30-12:30 p.m,"1253 Poplar St, Clarkston",,Clarkston,Asotin County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
Clarkston High School,7:30-9:00 a.m. and 11:30-12:30 p.m,"401 Chestnut St, Clarkston",,Clarkston,Asotin County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
Badger Mountain Elementary – front door loop,10:45am – 12:15pm,"1515 Elementary St, Richland",,Richland,Benton County,WA,,"'M', 'T', 'W', 'TH', 'F'",,,,,,,,,Sat Apr 11 15:13:40 2020
